"","mz","rt","1405_Fish1_F1","1405_Fish1_F2","1405_Fish1_F3","1405_Fish2_F1","1405_Fish2_F2","1405_Fish2_F3","1405_Fish3_F1","1405_Fish3_F2","1405_Fish3_F3"
"group","mz","rt","fish1","fish1","fish1","fish2","fish2","fish2","fish3","fish3","fish3"
"M158.9617T155","158.961715698242","154.983","13031.8516774194","19195.5153409091","13199.6138305664","26613.8185247525","11208.798046875","22274.0442666667","16920.8057761969","13418.8031206633","13994.0431747437"
"M159.1575T470.4","159.157548076608","470.364","1519.71428571429","1037.78571428571","1175.39767241379","747.204886792451","1422.55715254237","1021.31408333333","1339.77285245902","1578.33119047619","1811.61534545455"
"M160.1338T328.4","160.133832938998","328.418","441.433559322035","777.857142857143","1184.18929411765","454.726916666666","537.873692307694","635.231785903742","181.070200602214","473.167792262801","654.036590576172"
"M161.06T620.6","161.059959680211","620.627","263.313250000003","1264.59029411764","637.085129032261","492.414946289063","573.9417578125","610.697387695312","509.771608886719","566.801458333337","791.121759999996"
"M161.0713T390","161.071310776931","389.963","3283.86845070423","1120.60269715356","1319.84249777872","999","3315.24777272727","846.905191489362","3379.14409677419","530.580736842104","3518.10785074626"
"M161.0967T645.5","161.096721209268","645.528","4375.54157894738","4264.5744590164","4592.19474576272","4152.74352727271","4369.86496551723","3843.1198695652","4139.27348214285","4370.40652542374","4822.81799999998"
"M161.0967T490.7","161.096666447209","490.7225","2870.69691803279","1914.86313637534","2295.81402816901","2593.76544378698","2949.54423529412","1539.45401652893","421.429750000014","3920.63623140496","1860.42857142857"
"M162.0558T430.7","162.055828541032","430.678","1259.40056896551","942.673512195122","1079.60141666667","808.487595855213","1335.03236363636","677.002418181817","2719.467","2575.56243636364","3283.69602985075"
"M162.0552T511.3","162.055195846346","511.294","664.728580645161","742.366690909093","674.126494825932","419.580451612903","340.938041666666","523.765691389117","970.312666666661","1273.31309677419","1210.32744827586"
"M162.1128T256.2","162.112813715075","256.1585","5673.27159090909","3077.20903225806","6515.20254411765","1191.86918181818","2257.25381818182","1811.80401515151","282.766261245265","828.884097560977","762.231658119659"
"M163.0758T576.9","163.07584120786","576.91","2557.97344736841","2405.17673239436","1383.02815267176","1954.92857142857","2744.14285714286","2184.6610625","2150.57142857143","2526.96512820513","2806.38549333333"
