"","mz","rt","GD_010_NIST_RPP_RRHD_B1.mzXML","GD_011_NIST_RPP_RRHD_B1.mzXML","GD_013_NIST_RPP_RRHD_B1.mzXML","GD_016_NIST_RPP_RRHD_B1.mzXML","GD_019_NIST_RPP_RRHD_B1.mzXML"
"group","mz","rt","NIST1950","NIST1950","NIST1950","NIST1950","NIST1950"
"M224.8764T36.3","224.876417541504","36.3017928535409","19125.851392071","22476.581405813","17113.6862614154","15340.0337816245","12209.7365329691"
"M224.9972T422","224.997239176432","421.979515108631","1890128.90665933","1826846.33386271","1626010.44889721","1402288.05413564","1214084.15421339"
"M225.0151T392.7","225.015075683594","392.712974859817","682851.926210449","305699.579983587","440430.874551363","832123.754848434","331153.178089095"
"M225.0202T788.5","225.020236206055","788.536674986708","574733.599711518","330622.184359865","779122.838614599","254022.05343595","348216.017265306"
"M225.11T650.8","225.110005187988","650.804413481929","440939.458773739","92886.5459929515","11302.2094773154","382993.582651799","204416.939373342"
"M225.1461T869.7","225.146103752984","869.67116001245","2631128.68828957","2346663.39459701","2061112.75255167","1594297.81445978","1339919.85414858"
"M225.889T524.8","225.889027913411","524.793937835081","466360.605226334","365410.904289693","463283.195531749","326225.90650326","364415.802665349"
"M225.8894T937.9","225.889398193359","937.898752275556","183591.961505545","189172.878253615","185625.517564737","164558.193660537","149269.449885244"
"M225.9989T538.9","225.99885559082","538.880205261635","114601.85032082","363889.947994587","187124.196697602","105675.269717176","19679.7889708328"
"M226.0451T39.4","226.045098876953","39.4437795953053","353422.089919335","320998.982924111","329083.653318688","281408.352006122","225020.567598138"
"M226.1493T789","226.149284949669","788.962726818949","378387.312731657","361957.163957638","202333.609081697","87354.6332298707","186215.228446483"
"M226.9121T934.7","226.912078857422","934.716795215225","94757.9803999666","133081.77940782","76192.4680895072","173710.265515744","55569.5218610565"
"M226.9515T918.1","226.951481819153","918.056125415005","682271.698576637","503167.32282764","557275.241324564","571571.128852863","122849.916358202"
"M226.9954T422.8","226.995400746663","422.755180229066","462913.812022003","360273.853563684","556460.986454527","315332.675589928","342008.356020891"
"M227.0323T720.7","227.032251146105","720.682406185466","3739212.69228153","3398601.19718657","3201409.44840616","2615267.33631438","2315864.05784027"
"M227.0587T508","227.058717727661","507.987528008888","617953.92951279","744970.668101487","382929.292650118","117893.547221224","85649.8139608681"
"M227.0862T895.3","227.086196899414","895.255956236052","547114.660526069","120681.898537015","63351.0187296614","488851.279568231","65145.3861644439"
"M227.1255T684.3","227.125467777252","684.28716912747","744003.848586028","972138.183286696","993165.441823272","519748.624460155","495218.853438371"
"M228.0823T54","228.082272338867","54.0013699309778","56393.8591079514","50634.4716469153","47157.8671392172","38989.2154708571","31701.8504643552"
"M228.1957T333.9","228.195742797852","333.888966384867","137519.271949212","123512.031038161","116298.77358167","99196.2104675224","82652.0275138922"
"M229.0943T292.8","229.09432554245","292.835978155711","2155611.57131027","2815129.09130442","1471004.30014703","1385867.358","1702068.74814981"
"M229.0947T1000.3","229.094682421003","1000.29225442333","5216832.71204459","4295842.87290022","4665720.22634288","4082174.20457008","394982.679669754"
"M229.1411T911.2","229.141053771973","911.224970712007","1367905.85696034","1498979.14106981","1161605.55473284","987605.678150112","787843.93125908"
"M229.1549T31","229.154913330078","31.0377718604227","714742.127216154","644196.406006723","630513.450918221","510008.771992283","435495.368319315"
"M229.1987T335.6","229.198681640625","335.613240414111","127966.636318089","40149.8879266174","121851.337278318","136257.838884639","80097.9540350204"
"M230.0236T784.9","230.023639133998","784.907343084794","545553.74394835","1217581.96306734","900236.72550451","821606.034901248","773158.871887899"
"M230.098T56.6","230.097951253255","56.5814577475371","69566.3448722851","72426.3595697696","63332.6149499999","43124.7551350375","49964.4639440939"
"M230.0983T508.3","230.098331451416","508.251060097248","46171.8438091134","302030.947305505","228279.256785219","215981.301347943","157251.724878672"
"M230.0973T983.9","230.097290039062","983.902622344723","587291.405856503","556363.492991167","514573.349038879","427430.614355512","367853.473310944"
"M230.1398T521.7","230.139839172363","521.696631018059","419611.455422171","459761.289196277","412168.496609874","217748.892546169","323273.357570464"
"M230.14T983.9","230.139958190918","983.926044710624","1252669.8118871","1213015.77018333","1093019.80656095","888721.483139428","742173.21553298"
"M230.1575T34.7","230.157507578532","34.6557306555337","182601.5627084","90095.1048510872","86504.3953814461","77629.3617009215","60955.5844071926"
"M230.2477T292.3","230.247713262385","292.341572241395","1216534.48914999","1214621.38766798","1026492.38094758","832304.296989781","409155.319799295"
"M230.2479T990.5","230.247931740501","990.457071370633","1729108.09107041","1636739.65768359","1381690.80168175","1092810.35345955","1237935.11210338"
"M230.8673T705.8","230.86725792518","705.778099979107","195223.126811396","205963.718850849","94215.8807487216","150466.48854145","165716.600970384"
"M230.89T1006.3","230.889962768555","1006.30793174752","444706.41711107","364199.146980372","415174.569736146","365139.737619512","333517.680430417"
"M231.102T865.8","231.102046966553","865.836338136699","872411.896131958","855066.419357563","776501.746019791","777467.813189126","471917.938245875"
"M231.8894T886.3","231.889425913493","886.258981990433","23280.8602434648","50489.1169280599","27111.22451292","24725.5994734015","6058.40891926883"
"M232.0495T937.7","232.049502563477","937.699955147156","179259.519588615","160206.151152599","165011.819942514","129567.100810365","106821.670845012"
"M232.1544T42.6","232.154431152344","42.6385197572587","297043.713149255","141216.819667104","149353.877328733","208821.352796712","159522.041857172"
"M232.1541T741.1","232.154118537903","741.114080052257","131579.377124698","221836.064238469","103051.073661895","287882.716500063","109545.323560218"
"M232.8968T28.2","232.89684753418","28.2038893941344","116832.170350423","97224.2517221695","97142.4806828813","77305.3517725488","83360.0206568805"
"M233.0475T455.5","233.047491455078","455.521189004415","3863164.61993028","3404845.00256085","3288556.26992552","2760679.32680288","2519917.92942616"
"M233.0788T896.6","233.078797658285","896.599650935707","1907856.69796641","1852579.28249469","1690944.46689088","1276382.80877596","1063078.61843765"
"M233.1327T512.5","233.132672991071","512.483967782064","1633083.3062739","1667229.49295637","1353139.68838153","1321599.40802515","1106952.99093923"
"M233.1326T939.7","233.132556152344","939.726865945195","48540.1498252424","60550.5926106166","37304.9360811707","32033.6521531072","30328.9050404017"
"M233.7995T948.2","233.799523925781","948.214869882205","7096.02726044902","7017.31968813198","11104.2589822008","5517.44476765332","5925.48116306597"
"M233.9846T244.6","233.9845606486","244.562234982386","269198.509482287","53839.7202044321","56971.6332266613","44847.6408850662","45168.6160178342"
"M234.0194T948.3","234.019368489583","948.32925631443","535364.149672065","474799.396572269","429183.949156971","442747.002456052","295450.400858314"
"M234.0643T445.3","234.064323425293","445.262516918946","2029021.62243705","2158601.08242034","1711415.36641191","1523245.91000557","1254941.62683029"
"M234.8381T1029.8","234.838081359863","1029.8184923808","46204.6335320212","47394.039181738","50939.3947363307","46451.407278754","44525.3793561129"
"M234.9006T823.4","234.900625610352","823.396866791474","7985.6341696322","5671.52103598422","35802.3469965401","35038.13377106","52115.8010338035"
"M234.9392T717.7","234.939229329427","717.6563785273","1244961.63730564","1249291.92930527","1142854.78713758","871602.425471592","923056.578391166"
"M234.9817T34.1","234.981680297852","34.0907305242082","93310.296177642","100963.875282221","100588.539076621","89556.6789515374","82958.8283381132"
"M235.0253T477","235.025278363909","477.041815855208","721603.240191803","594579.878866042","516805.885802882","408221.979379034","373752.418791207"
"M235.0247T1042.8","235.024706159319","1042.83068578832","536619.183873941","380655.48957306","324159.300988478","272844.703198371","197359.899044463"
"M235.0473T668.4","235.04734247381","668.37914138749","12941919.8382727","12428137.138464","10731935.0742682","9088483.97492057","7609493.69359663"
