"","GD_012_matrix_RPP_RRHD_B1","GD_014_matrix_RPP_RRHD_B1","GD_015_matrix_RPP_RRHD_B1","GD_017_matrix_RPP_RRHD_B1","GD_018_matrix_RPP_RRHD_B1","GD_020_matrix_RPP_RRHD_B1","GD_010_NIST_RPP_RRHD_B1","GD_011_NIST_RPP_RRHD_B1","GD_013_NIST_RPP_RRHD_B1","GD_016_NIST_RPP_RRHD_B1","GD_019_NIST_RPP_RRHD_B1"
"group","matrix","matrix","matrix","matrix","matrix","matrix","NIST1950","NIST1950","NIST1950","NIST1950","NIST1950"
"M341.1995T589.407","34659.8560984807","29758.5151504849","28022.7135650877","25802.7681142092","25573.6952136191","21192.2887235022","80265.1438517147","74636.0742705079","66836.4960235219","54028.7017212315","43979.3155431745"
"M341.2664T495.5345","68656.0747474121","64895.1010848998","58957.1582527488","62821.7103192595","52556.7611883304","46983.3428557225","71895.55165954","68902.3714278013","59142.3187574291","52125.9477551466","36233.8337719905"
"M341.3607T658.448","60039.2472373008","55300.8594527767","50220.4511651928","44390.1627111936","46548.4427815612","39924.3363834521","38527.5269883286","37384.8232486294","37893.3981451732","34224.1139620571","27308.5975080074"
"M341.3968T492.507","25286.4961518288","24447.4284391114","20817.7530569173","20509.493361023","19774.9131596955","16891.352304113","10170.0129465706","9016.82745847481","7021.23522780114","6081.95359419975","4762.84801161702"
"M341.9175T949.152","18402.9450839997","12307.8647776795","14752.555276172","11233.7189592634","9439.38865373886","11617.4158121785","18289.4840154623","17125.5329347738","16935.9498987303","9630.4450027902","11716.5226546962"
"M341.9302T942.49","19259.5690007338","16400.0763343818","16035.0014155762","13716.5106743645","12754.1446185548","13164.3150059566","21628.0220492061","18333.7642526069","17476.0593633058","13624.3057061478","12661.4950148965"
"M341.9622T31.621","2589.94023514993","2353.65958942387","2044.6116925601","2373.91727079262","2323.35451135976","1910.2269479302","28618.016006071","25917.5647855946","25569.629652316","19524.2002207726","18536.4981928158"
"M342.0157T349.1345","8814.70258459228","8582.59245852831","8538.07697502443","8316.77891059576","10673.5338532597","9425.65400514994","6813.91181607057","7846.18691929295","5598.29648165282","4801.72730988768","4867.59803704155"
"M342.019T710.532","15354.5530707124","21238.9708300167","16089.1496374636","14274.4294362663","14011.7468199348","14136.8634809191","3501.25760408988","3126.37407547515","2664.71428105624","2206.05738729535","1800.31606297674"
"M342.1489T211.4995","5147.73121524811","5129.56159812928","6727.19003455014","7208.77490505645","7499.83887882486","7754.56930418014","2121.45767795155","1992.11473503726","1648.54051998476","1755.41358878365","1393.28814414998"
"M342.1561T37.076","1125.38146310795","1513.17338785452","1074.17478298468","943.414791753755","1273.3957772355","1021.57187029194","56566.7058375094","53960.8339444855","49602.9558784592","45445.8895709534","37973.5024360085"
"M342.1811T601.038","6207.00736557128","5778.13752178805","5898.93527785746","4889.43626325499","5107.29072211661","4620.35639133935","43177.168048324","45239.2336534276","41387.5343191915","36006.9293277882","27855.8421672183"
"M342.2005T631.803","26189.5857053407","24195.4932147771","22673.5403111075","22535.5861135165","21905.2608661673","17735.404870351","27845.4135279263","28230.6459406738","27928.8426751041","24281.5728226439","21129.8148662023"
"M342.2461T573.727","5555.56522021567","4500.61932822948","4117.44544765974","4114.33399277336","4036.68086660462","3831.38603859467","11617.5992481994","10989.0566165522","9639.89626745218","8052.6620297795","6027.56059848205"
"M342.2638T331.41","1272.04712367803","1404.09893241055","468.319583945133","434.875440800182","1266.2424944018","768.643581997917","333658.857606299","306377.187960776","298639.290121897","217405.127213516","176969.234118111"
"M342.2697T495.534","13238.67237509","11302.4990879629","13664.6889899683","10941.7968870608","10948.6082801536","8529.83192098274","14425.7679369883","15701.7561323372","12567.1682339481","10340.6437225914","9148.60608209917"
"M342.3643T658.449","7040.35725924685","5865.86161872021","5529.81996379388","5816.41989581295","6136.70038350727","4301.47556824842","5693.25936928521","4572.53870867783","4133.54296326194","4376.2067474979","3364.15902018989"
"M342.8679T941.982","10393.8458786866","7685.33763482111","5884.25516977948","7554.25266268819","6114.80064033202","5066.05075723033","11264.6196705079","9313.90795991206","7375.85116468308","8092.28006311825","6370.43986812101"
"M343.0752T381.679","10538.4086827321","13625.6064273134","12551.1504162417","6906.7335850423","5181.5241957092","7255.68920356752","17233.8788266367","12589.8285871291","14525.3623024824","14033.8139204693","8488.55449979005"
"M343.1319T432.504","23358.8084363282","32586.5355935059","20792.4963676786","31133.4041089881","18853.6337638589","24913.7063257872","37652.6078774007","35257.8816898569","29230.9103929504","27361.75070676","24014.6842311181"
"M343.1594T36.882","549.488467920939","821.737745752949","347.328527256701","767.530674423951","543.312819275992","362.772906156722","10629.8814019514","10341.3240066584","10828.5960621669","9034.87294650078","8709.89790017089"
"M343.1608T573.125","6341.92650712947","5430.65406230323","6217.52694258307","5484.7637076181","4706.84023991041","4751.6609193103","42764.4734240721","41613.3189068075","37033.9262482603","34004.1599287219","29760.2671499502"
"M343.1781T601.038","6821.42938019965","6794.48623830621","6351.88162922221","5900.38775629266","6339.47385528834","4961.48377190158","31659.1070050755","26475.1649569149","24330.350853234","26892.3659908208","18192.5234926341"
"M343.1876T330.806","52125.3222663454","49671.5069048489","44253.1694781189","47091.5029636148","41730.7623010683","37451.1166689905","27220.7930314823","27191.3903026269","23263.1065453814","20460.0423848372","16325.5085034943"
"M343.1941T631.803","45215.9875112636","39694.8558218294","38181.2791679686","36123.6393350425","34077.9667408724","32011.1816037248","47588.4144870604","44036.2435889818","45746.19175361","41795.8707981688","34765.4143882412"
"M343.2671T331.41","1368.40228537559","1283.21917292198","696.216499616578","516.907401866553","798.667380986357","554.111319017068","71449.0078802078","66752.5919280666","60903.3000905427","52541.3586222467","44255.3943420116"
"M343.2952T382.889","90047.1828946211","83110.7446794315","74341.0686163575","72655.9744536172","65709.2051213265","61035.1531822454","38848.3090755317","35235.2987029499","32419.5296240505","29020.0041815513","22972.6492713706"
"M343.3318T430.7345","8570.16862522159","8291.97959935801","7106.64868139795","7440.35784586682","5193.70090992944","5664.14024022275","9452.6432798729","8223.5011326298","6770.87128880058","7764.2713525784","6599.71887236329"
