"","mz","rt","neg-Exp1-Blatt_K-1_1-B,1_01_8102","neg-Exp1-Blatt_K-2_1-B,2_01_8104","neg-Exp1-Blatt_K-3_1-B,3_01_8107","neg-Exp1-Blatt_K-4_1-B,4_01_8109","neg-Exp1-Blatt_K-5_1-B,5_01_8111","neg-Exp2-Blatt_K-1_1-D,1_01_8113","neg-Exp2-Blatt_K-2_1-D,2_01_8115","neg-Exp2-Blatt_K-3_1-D,3_01_8117","neg-Exp1-Blatt_P-1_1-C,1_01_8103","neg-Exp1-Blatt_P-2_1-C,2_01_8105","neg-Exp1-Blatt_P-3_1-C,3_01_8108","neg-Exp1-Blatt_P-4_1-C,4_01_8110","neg-Exp1-Blatt_P-5_1-C,5_01_8112","neg-Exp2-Blatt_P-1_1-E,1_01_8114","neg-Exp2-Blatt_P-2_1-E,2_01_8116","neg-Exp2-Blatt_P-3_1-E,3_01_8118","neg-Exp2-Blatt_P-4_1-E,4_01_8121","neg-Exp2-Blatt_P-5_1-E,5_01_8122"
"group","mz","rt","control_Exp1","control_Exp1","control_Exp1","control_Exp1","control_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","control_Exp2","control_Exp2","control_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2"
"M661.0776T325.3","661.0776","325.32379","736.0468","988.531","1012.696","1279.6395","698.5584","1134.929","1129.2258","635.3651","546.4192","588.7378","559.6987","718.1601","670.2345","927.2227","1003.9004","885.6018","1216.681","740.7206"
"M661.1404T265.7","661.1404","265.71627","22379.2257","14072.856","12634.19","15724.5217","10775.4623","15846.21","14634.4421","11075.93","31339.0367","29614.7474","25558.6955","13411.2669","16576.1126","15535.1658","24305.7885","29961.1288","14335.7005","18362.4216"
"M662.1433T265.7","662.1433","265.67344","7586.6855","4526.7351","4196.72","5000.6659","2881.44","4666.108","5042.7807","2898.956","10891.7765","9666.705","7785.0644","4365.7059","5054.0028","5119.9685","7424.0435","9268.1012","4214.4395","5496.845"
"M663.1443T265.6","663.1443","265.6306","1611.7365","1445.389","893.78","1250.5414","930.3916","1375.308","1425.379","1105.219","3118.5585","2499.0517","1843.9197","1420.0926","1565.449","1532.7902","1585.3632","2645.9388","1152.7033","1679.3816"
"M665.2281T234.8","665.2281","234.76695","45490.7758","40210.6725","18517.88","24600.3472","19939.7224","5358.175","8785.1971","7144.534","32622.3966","30243.3145","18662.4333","14306.624","20252.4514","4856.523","3052.5069","6075.4003","3330.5218","6437.9893"
"M666.0243T37.5","666.0243","37.46321","1746.7313","863.9134","904.7025","767.7972","646.9375","1213.495","1135.234","666.341","4548.8491","4312.4264","2976.3747","2128.7035","2612.3115","3095.8721","3605.7426","3337.6674","2966.4957","3541.3833"
"M666.0983T210.3","666.0983","210.27468","837.264","1098.5878","597.209","623.645","1035.3909","624.0854","897.6474","743.5378","1150.6784","496.8405","769.5898","741","481.9075","959.5252","856.578","848.4969","803.7671","772.7774"
"M666.2312T234.8","666.2312","234.76695","13189.6147","12188.3527","5994.928","7497.3639","6118.3409","1896.883","2631.5874","2410.779","9781.2668","9542.3905","6193.3537","5248.3642","6036.633","1485.8267","902.451","2203.5006","1010.1583","1852.5115"
"M666.9811T163.1","666.9811","163.13653","2172.2871","1530.7322","1626.973","2135.4398","1415.9197","809.7592","1539.0102","1310.925","3905.1254","3127.4909","3388.8523","3963.1957","3535.0397","3082.2857","3173.8342","3189.0314","2970.8486","3060.666"
"M667.0258T37.5","667.0258","37.45705","467.9566","335.7168","347.4669","225.42","316.455","538.9932","392.1508","323.2003","1121.9415","1044.0319","891.0092","522.1247","698.1042","700.5574","1007.7903","918.8735","835.3516","777.3768"
"M667.2252T234.6","667.2252","234.60554","4534.0766","4032.8321","1894.938","2571.0552","1600.3625","426.4186","865.173","638.638","2523.1712","3184.47","1785.2913","1895.7288","2198.2076","857.4257","805.199","1166.9434","627.6615","560.7482"
"M667.7007T26.3","667.7007","26.30051","3357.0659","5623.2085","3786.882","4234.8722","4288.0448","3524.772","4632.5777","4200.4","2982.852","2593.7742","2677.748","4563.0044","3566.348","3855.6729","2021.1417","2918.9629","2927.6652","2863.564"
"M668.0246T37.4","668.0246","37.42287","615.0769","478.0956","334.4644","428.8022","290.7841","554.6147","419.2881","466.2313","1491.4083","939.6946","867.2742","552.8021","874.0196","838.5729","906.2678","898.5669","661.0871","988.7015"
"M669.7016T26.1","669.7016","26.11753","1593.1976","2260.3274","1998.129","2243.1764","1817.1274","1838.794","2013.7742","1988.076","1586.3605","1280.4784","903.4554","2046.6892","1193.711","1852.495","1258.6984","1220.3721","1392.6953","1557.213"
"M670.1645T263.5","670.1645","263.50596","491.7502","467.9145","286.4851","374.1982","377.1723","244.7523","384.1344","310.8313","4091.2027","1172.9661","1440.9164","1473.7543","1646.419","894.8793","1517.0612","1544.1136","437.3833","1863.3948"
"M670.668T263.4","670.668","263.43516","255.3997","276.5212","153.0857","184.7922","159.7561","148.6964","155.031","121.7202","2454.5254","742.8441","1026.2464","709.1684","1028.5448","435.0633","865.8634","743.8965","404.2747","926.3241"
"M672.113T210","672.113","209.96542","1598.3394","1830.8367","1251.238","1025.8768","1080.0445","811.9094","1589.7014","1296.295","1061.5884","833.7692","698.4548","977.3236","1013.5065","1276.78","1172.8706","1182.6282","1222.2077","1184.7479"
"M673.2696T360.5","673.2696","360.48824","1326.8335","2822.0478","1373.961","1544.3894","1544.4385","1683.658","1561.447","1636.288","1418.3755","1685.3894","883.2729","1447.7675","1388.3227","1616.9799","1643.136","1386.095","2167.083","1210.0406"
"M673.4793T1011.8","673.4793","1011.77591","29912.8555","20363.8166","24469.8","14525.9448","14843.7291","16388.54","22761.7085","10164.73","37092.8243","0","33485.457","22847.1926","15632.4914","20321.5725","15969.1648","8698.3435","9397.1329","5778.275"
"M673.4809T984.6","673.4809","984.56461","11560.9689","11746.2248","7484.734","13294.1658","11654.6737","4370.251","5272.506","6291.453","12926.0189","0","9100.4542","8877.8691","7936.0512","5756.9777","5392.7629","3738.4011","3498.4632","3136.8408"
"M673.4802T962.8","673.4802","962.84869","17215.6667","16824.2198","10085.72","15619.2909","7976.4","8886.437","11819.5051","6750.374","16405.8655","0","11402.814","12639.65","9691.6667","9191.2158","7041.1855","5580.122","3653.6353","4362.5135"
"M673.4801T1000.1","673.4801","1000.14363","14088.7831","16413.5485","13268.27","10094.8309","9823.4525","9239.029","6357.0749","5152.882","14987.49","0","13308.651","11709.185","14257.9799","6752.5075","6236.4405","4788.8327","4596.964","3150.3333"
"M674.2083T297.4","674.2083","297.43448","1675.0176","1463.512","655.6807","727.697","679.201","650.9406","1081.3603","732.4306","1705.6558","846.9086","853.2635","1088.8947","477.4288","864.6912","792.2376","676.4056","899.8824","459.1712"
"M675.1254T323.4","675.1254","323.443","2873.9577","1533.1046","1491.323","1357.3877","1240.3396","883.2097","1373.0589","1162.964","4797.8816","4829.8257","3535.1749","3311.5131","3124.2492","2201.3938","3414.662","4186.8556","2696.5655","2475.9782"
"M675.3609T594.8","675.3609","594.77648","2632.4235","1877.4055","1442.654","1635.3057","1252.0535","2044.835","1449.8164","3812.448","6747.8142","0","5474.0946","3519.8012","4528.4077","3214.5733","5658.7695","4826.3962","5519.4554","4319.589"
"M676.3633T594.7","676.3633","594.73182","913.6073","559.6611","889.202","539.5799","496.5443","624.962","616.6247","1408.912","2439.9423","0","1639.9071","1322.1639","1517.49","566.4891","1915.5471","1707.3231","1825.8353","1591.367"
"M679.1527T358.4","679.1527","358.40919","19203.9033","12199.0518","8033.509","8003.5176","7573.0067","11729.14","10798.4352","9172.193","20371.9597","20321.6242","12599.7861","7081.6366","10481.6965","11509.4185","14533.2432","17343.0035","10971.3104","14052.5442"
"M679.1539T284.1","679.1539","284.09201","204323.7696","148284.0732","114551.5","115564.3676","101788.6899","122285.6","120321.16","97973.91","249260.5145","255430.3301","191957.2802","159264.8246","176435.7312","152195.2497","179684.3616","181831.6037","160176.0849","174326.8579"
"M680.0695T339.6","680.0695","339.57754","3616.2239","3628.8843","3023.845","3096.8332","2792.5972","2796.76","2906.3084","2432.924","3255.1433","3104.4195","2689.7177","2622.6454","2735.8699","3005.493","3701.4562","3157.176","3175.8877","2630.418"
"M680.1567T284.1","680.1567","284.07733","69758.627","48831.5552","38267.97","38219.7366","32886.0641","39750.26","39915.8631","31903.88","83958.5867","83963.3455","62689.6813","52297.6046","56739.8301","49762.0773","58839.5326","59762.07","52087.2111","56210.2775"
"M680.1559T358.4","680.1559","358.42666","6625.1833","4217.3005","2668.14","2701.4592","2471.4996","3857.15","3593.2119","3163.391","6886.0368","6524.7445","4277.1011","2292.1455","3728.6379","3633.816","4788.0947","5479.7434","3394.3187","5047.0208"
"M681.0237T212.1","681.0237","212.08583","2443.8143","2413.5684","2459.394","2583.3506","1263.2222","1797.283","2043.267","1887.726","3272.4143","3551.9446","4021.6564","3278.4735","2099.1404","2376.4752","3096.4287","3096.581","3155.88","2420.9462"
"M681.0273T250.4","681.0273","250.44057","1759.5026","1835.2538","1578.784","1593.891","1512.4679","1228.333","1703.3406","1300.239","2194.0025","1655.4729","2762.0092","1921.9097","1627.2162","1970.8963","1921.5569","1281.1149","1601.7796","1773.7465"
"M681.1423T323.4","681.1423","323.43211","6379.3957","3021.2669","3478.997","2951.1532","2220.7283","1682.58","3678.0688","2294.814","13486.6784","13713.1865","10744.853","9135.1129","8926.6033","6999.9239","9550.1213","9866.46","6895.9646","8132.6893"
"M681.1585T284.1","681.1585","284.07733","18264.6522","13464.1532","10087.78","10277.7941","9437.4234","11268.89","11016.3671","9154.124","22567.3293","22780.8403","16939.2447","14095.022","14151.0482","14025.6737","16263.9248","16471.8221","14345.4309","15168.0751"
"M681.1966T234.8","681.1966","234.77725","1929.6667","1610.7611","965.5239","1280.2716","1072.4168","254.3333","633.308","372.9201","1457.0857","1450.9736","1002.0438","1086.0141","731.7668","430.769","344.5262","553.8438","408.8955","541.6365"
"M681.2393T241.7","681.2393","241.72605","4493.8469","3563.7892","2915.305","3782.9272","3041.6711","2979.617","2941.7516","2598.075","7613.8484","6587.7774","6089.8729","6219.4058","5542.7387","4314.1199","5119.0243","5410.9409","3661.9558","4405.9753"
"M681.3701T330.7","681.3701","330.74776","2354.9054","1648.2674","1738.556","1693.8346","1598.8182","1526.175","1843.1734","1719.489","2322.5742","2077.0601","1668.4787","2186.3952","2016.1768","1313.943","2139.9446","1754.5435","1989.9222","1407.6044"
"M681.6599T263.6","681.6599","263.56647","201.7272","244.4555","94.73293","156.4115","78.0234","100.3634","172.0516","97.73503","1940.0792","744.4682","1042.1094","618.5006","850.9826","621.1863","750.2786","491.2034","354.8307","1125.5939"
"M682.0233T295.2","682.0233","295.16031","1549.2996","1541.2592","1336.944","1352.5949","1304.9632","1108.995","1725.9969","955.2495","822.9546","972.0774","1199.5995","1073.9022","1178.0477","1410.3064","1309.5035","1251.5113","1518.2599","801.4348"
"M682.145T323.5","682.145","323.4565","1694.3333","1228.6843","1020.565","1035.4358","668.3929","1099.93","1180.1349","849.9823","4540.0956","4615.3632","3475.0282","2958.3799","2399.938","2197.2943","2812.285","2841.4855","2340.7362","2652.4701"
"M682.1613T284.1","682.1613","284.0557","3591.2565","2670.0265","1587.46","1997.8857","1844.4779","2205.108","2293.1877","1724.173","4577.1897","4164.9346","3297.5067","2809.9282","2928.2178","2347.399","3073.8451","3218.7929","2263.3364","2679.4008"
"M682.2434T241.7","682.2434","241.65277","1238.4333","1416.1841","1039.697","1008.8807","778.0678","920.6177","955.6199","501.6667","2109.8112","2474.8712","1903.0251","1689.2939","2002.9464","1257.6245","1604.6061","1726.1597","1543.9754","1131.899"
"M683.1222T265.7","683.1222","265.73026","982.266","525.1976","489.8381","692.429","416.9318","287.7242","706.7713","390.5402","980.1168","999.4995","1204.9871","689.9081","640.0013","647.3235","906.1077","1296.036","738.2998","794.6678"
"M683.2553T221.6","683.2553","221.63896","757.0216","362.5465","446.756","413.6144","392.1725","535.2216","513.1466","320.04","1658.2073","926.6896","767.7745","680.5715","780.9576","397.0943","746.5572","756.2123","629.675","969.2769"
"M685.4803T957.2","685.4803","957.22023","4588.5193","7344.4822","8184.361","6373.7395","4282.6949","3881.878","17138.2042","30737.45","3869.1335","0","5296.5129","5949.0326","3794.9598","5083.4698","6562.2456","11037.7531","4179.6744","6422.208"
"M685.4801T989.6","685.4801","989.61694","5854.5842","4751.708","8432.575","10972.2049","5026.2658","9694.429","17696.525","20108.41","4487.3919","0","8603.3077","10217.1746","5922.3333","6273.4119","14387.1247","12099.9425","4900.0586","7291.8035"
"M685.4815T976.4","685.4815","976.38665","7449.7129","3923.0155","6736.951","6395.067","4349.2309","5301.036","8355.6792","21988.14","4062.3333","0","6361.746","6318.8764","4534.333","5657.3333","11565.4455","11719","4972.7537","6717.8089"
"M687.2086T234.8","687.2086","234.79376","4263.4263","4175.5041","2945.357","3160.5893","2642.7792","1108.555","1102.0522","1586.933","3239.8704","3226.1647","2595.964","2338.7353","2350.2531","915.7811","889.3419","1353.0095","804.5116","1182.4137"
"M689.1262T467.2","689.1262","467.20623","2004.0477","2205.2094","1820.637","2430.548","1901.4744","1365.003","1242.9545","1398.432","1844.9481","0","1446.9244","1522.1992","1054.9788","829.135","713.0859","1865.9551","876.8654","943.9262"
"M689.3389T447.6","689.3389","447.56163","926.7234","477.1557","890.503","685.3094","674.63","858.816","544.6055","728.745","2282.6925","0","1928.7924","3145.1004","2689.6077","1223.4447","1679.4285","1782.2174","1354.7907","1723.2342"
"M691.2354T282.7","691.2354","282.6743","1526.4517","1558.4455","634.0535","870.9944","1001.197","1288.867","1620.7016","1164.62","803.262","669.5174","514.1799","699.5781","717.3585","804.8495","632.6034","780.7447","884.7376","486.8057"
"M693.3344T530.1","693.3344","530.09139","1552.6771","841.7035","861.1339","744.23","777.5554","936.3941","854.0156","1358.661","2113.8608","0","1404.7488","1011.9769","1372.3118","852.2982","1488.4917","1226.7447","1624.5366","810.1062"
"M696.038T339.5","696.038","339.53128","3931.3957","3745.7735","3383.024","3537.6525","2791.9586","3507.836","3670.4426","2886.677","3492.3061","3382.9027","3245.1354","2814.3061","2772.6626","4043.8633","4344.0035","4129.9074","3846.3583","3260.0278"
"M696.0666T190.8","696.0666","190.75773","1923.9091","1810.6258","1931.597","1781.1327","1551.7245","1859.238","1791.597","1346.193","3624.8746","3126.1579","3074.6074","3208.8913","2720.5765","3185.7282","3192.5551","2530.8691","2892.245","3025.562"
"M696.9933T212.1","696.9933","212.09057","2168.9145","1973.4481","2441.589","2163.889","1837.0377","1874.551","2135.3294","1511.556","3018.5599","2973.1525","3326.876","3130.2035","3297.2525","2823.6949","2954.1358","2824.8225","2762.7288","2456.8556"
"M696.9942T250.2","696.9942","250.22583","2275.7884","1827.2871","1369.871","914.7581","1627.0489","1127.915","1186.1302","1796.865","2230.9706","1632.2887","2618.119","2344.8568","1867.2665","2210.9724","1788.3655","1574.4198","1424.6182","1993.8769"
"M697.1622T301.9","697.1622","301.85037","5098.3656","4047.156","1971.293","1743.0783","2639.5625","3213.08","2834.1931","2783.224","3629.0366","3246.594","2002.2149","995.7457","1602.8076","2427.936","2688.7004","3761.5465","2503.7595","3168.1444"
"M699.1957T376.8","699.1957","376.84534","739.8655","794.4189","692.1068","759.1686","672.9021","855.4254","707","767.1176","707.6567","404.9047","511.9993","594.297","693.4027","826.3272","863.4685","724.6334","596.1907","537.8237"
"M699.2482T337.1","699.2482","337.10532","2639.2846","3411.5004","2750.814","2135.3548","3192.6039","2172.269","2512.9493","2632.537","2392.529","2229.8392","1660.8683","2846.4456","1767.1015","1711.5989","1735.6072","1263.4702","3430.8288","1746.0682"
"M699.4957T1011.9","699.4957","1011.93512","18534.294","29032.1781","28895.83","23348.1893","26859.6913","22748.42","14873.1321","18902.22","18608.5291","0","33796.3011","21547.1546","18017.8131","26761.8616","12290.8248","8328.0273","10239.1848","11600.9803"
"M699.4963T990","699.4963","989.95252","8208.0111","10609.0788","9876.346","11488.1832","20235.5186","13926.11","8258.6667","12210.82","10864.6848","0","2340.657","16460.6771","18752.0104","7124.0349","7417.9267","4678.0728","6226.1647","4596.6305"
"M699.4963T974.9","699.4963","974.8933","7208.9179","9291.8571","18234.29","11221.8546","10627.5269","6633.337","5847.7485","6266.457","9967.6459","0","10124.393","10159.0998","8961.0502","6288.1294","7564.145","5704.9592","6218.4737","5176.0032"
"M699.4966T964.6","699.4966","964.56428","8485.3333","9208","8846.087","8526.928","1689.642","6970.099","5724.9742","5471.735","7644.0885","0","7486.3176","14410.55","7405.2877","6793.7285","5480.2863","4577.522","5116.4087","2332.5312"
"M700.2493T337","700.2493","337.02136","753.1744","1015.1862","923.795","766.0036","801.4966","881.2002","1063.3429","664.3519","1003.6383","813.2193","746.7472","784.9685","859.5286","867.3389","659.6109","829.0584","1103.9181","432.8096"
"M701.1348T285.4","701.1348","285.41409","224911.5382","210413.5989","205363","204132.8793","190315.925","202003","192267.86","181452.7","234329.109","209024.7998","230370.9536","224772.6487","224706.9475","223917.8002","222411.8614","221222.4536","227944.2175","216503.0942"
"M701.1349T358.4","701.1349","358.37547","5963.3135","4093.0283","2506.36","2606.2589","2720.9649","3953.05","3375.1511","2658.263","6969.5843","6950.39","3819.8254","1713.9451","3660.2765","3015.4104","4371.9416","5787.7127","2777.2214","4719.6432"
"M701.1354T261.4","701.1354","261.44668","2929.5858","2857.1009","1515.091","922.61","1690.5505","2122.409","2059.138","2201.635","2348.1735","907.1601","1465.4029","1130.3107","1217.0925","1864.5985","2354.4708","2452.8582","1616.4444","2035.2262"
"M702.1379T285.4","702.1379","285.41409","73673.1099","72945.6557","70310.22","70297.8827","67276.4551","70406.55","66085.6991","61793.41","77241.154","72500.6997","78237.0555","78510.024","76000.8536","77416.0383","74962.2251","74109.0406","77265.4029","74654.3306"
"M702.1373T358.3","702.1373","358.28827","2153.3378","1454.9358","670.9837","930.2114","711.3361","1441.285","875.8187","911.1101","2544.9385","1957.3953","1374.7619","479.1958","740.7593","1360.9764","1471.5413","1839.7516","1212.7576","1285.5252"
"M703.1337T285.4","703.1337","285.37602","23909.596","23910.0247","23444.31","22913.5476","22229.5462","23410.38","21736.604","21422.45","25735.0215","24020.6035","24921.8765","24573.922","24923.7202","25027.9558","24925.4673","23726.7653","25281.2211","23568.3056"
"M704.1341T285.2","704.1341","285.18566","3451.9435","5095.2636","5407.6","5355.4175","4870.7027","4785.136","4949.9031","4765.541","6110.8874","5449.9068","5886.1145","5613.852","6110.9563","5575.152","6417.2845","5662.8662","5703.675","5543.7128"
"M704.2186T346.8","704.2186","346.82436","8415.2325","5557.778","3176.73","2645.9323","3283.3479","2400.377","4193.7023","3842.69","7634.514","5709.5527","6175.8807","5729.626","3804.1755","3635.6054","3699.674","4021.4353","3406.4106","3789.1237"
"M705.2241T346.9","705.2241","346.89237","3444.1339","1379.6528","748.7735","1292.1464","1625.2353","880.4214","1805.9442","905.9558","2966.2111","2178.3287","1075.6076","2065.6512","1687.4565","1495.3243","1784.5352","1617.834","1410.1938","1462.8263"
"M705.214T376.8","705.214","376.84672","1533.0645","1049.7979","1568.589","1434.0031","1394.184","1556.806","996.9514","1270.08","1452.7829","1244.0296","1646.823","1167.7586","1341.3105","1528.8888","1689.2282","1558.3787","1180.6016","1617.8082"
"M706.0094T196.2","706.0094","196.22737","1010.563","988.6259","773.9058","717.0011","578.5697","300.4385","853.8978","615.205","893.0887","942.7621","917.1","1002.4737","648.0273","1047.6663","903.1672","1006.8955","964.7892","812.0504"
"M707.0786T325.7","707.0786","325.66736","1160.58","857.6166","1021.967","939.0958","1072.2272","688.53","778.249","1051.796","1030","896.7782","1142.6852","997.6979","1105.3315","731.4463","835.5741","584.6771","573.8306","902.1175"
"M707.2419T219.8","707.2419","219.84381","2445.8623","2365.1609","924.2393","996.1693","1329.1317","540.7656","879.5714","593.9406","1446.6064","1740.62","1192.3576","793.73","872.8349","558.1374","291.75","384.9348","391.2123","637.182"
"M707.3118T235.1","707.3118","235.05685","3476.9059","3268.2862","1495.683","1392.196","1372.9604","627.8715","1205.0281","1047.247","2672.334","2237.6488","1384.8658","1403.2838","1909.0112","810.0229","597.3949","608.2128","713.7206","913.4839"
"M709.1109T37.4","709.1109","37.43742","1969.3843","1062.5748","1014.502","858.2231","1307.8838","1356.237","1778.4791","1848.949","1027.267","1085.023","857.8897","829.4233","764.4375","876.2687","1102.6276","1238.4676","754.8516","1015.4602"
"M709.3262T235.1","709.3262","235.13216","2777.305","2942.3288","1465.932","1134.3588","1536.9775","552.7606","1178.1196","974.9458","2138.0814","2404.6151","1218.8207","847.1925","987.4806","753.5045","600.568","778.318","585.9977","939.1104"
"M711.1428T284.4","711.1428","284.37664","3626.3942","1696.5936","1917.234","1869.6234","1613.4384","1972.913","1822.0453","1368.35","3990.4217","3992.8779","3136.7119","2747.0094","2791.969","2639.9236","2768.8231","2773.4819","2737.6607","2616.6892"
"M711.8804T27.1","711.8804","27.14938","735.5089","678.3732","792.6568","822.8631","898.7388","827.1529","420.3859","852.2035","1150.7014","1777.2488","1370.7249","1636.9523","1678.9871","997.5635","1523.6971","1235.4525","1192.5718","1615.474"
"M712.0317T190.6","712.0317","190.64951","1983.5666","1522.3362","1830.435","1636.5546","1102.1305","1704.384","2075.8819","1178.603","3322.6317","3677.838","3318.9937","3270.497","2998.6937","3134.6314","3033.5275","2685.8003","3082.9451","3256.6546"
"M713.62T25.2","713.62","25.16585","499.2935","391.6745","504.63","764.8196","598.429","524.6418","533.9315","666.8","542.1653","345.0824","429.8351","665.2103","583.1166","719.7793","622.5231","424.1341","701.1402","460.092"
"M713.8736T27","713.8736","26.99697","1007.6859","785.3949","996.5386","884.8409","918.6352","830.084","679.3354","797.6124","964.6715","1087.8189","939.7466","1340.469","1076.1307","1135.8107","961.9774","1128.4338","698.1463","810.7355"
"M717.1016T286.2","717.1016","286.19761","11285.5829","11650.743","12241.24","12019.1865","12213.4106","12062.19","11716.0881","11269.53","10995.1691","10578.6883","11170.506","11268.5866","11482.8328","11734.1071","11640.4306","11349.5729","11887.988","11272.1995"
"M717.2609T358.8","717.2609","358.79723","6572.4758","10992.6625","6249.343","5034.6104","6029.7874","5381.741","7389.7234","6203.598","6869.0014","6205.9323","3196.7852","6720.7532","3825.451","5666.0105","5905.02","3620.6461","8496.3479","4269.4229"
"M718.1067T286","718.1067","286.03112","4136.2569","4081.8839","4261.028","3847.5071","3606.5989","4537.588","4017.8595","4103.646","4328.9777","2898.4705","3539.5204","3995.936","4021.6331","4348.7971","3976.1027","3326.996","4242.6906","4300.3002"
"M721.3667T594.7","721.3667","594.68715","7246.8539","4644.1548","4967.507","4148.4738","4634.0379","5198.732","4468.0026","9194.505","19450.406","0","14205.7615","8978.949","10830.7634","7056.3558","13616.7161","11158.4358","12478.3333","10706.2718"
"M721.9772T196.5","721.9772","196.45885","1133.148","1030.2053","1172.001","1349.8585","1059.8141","935.4114","1024.9014","785.629","1026.2032","1102.8204","895.7043","1082.584","875.4334","850.8223","1168.7433","1156.1184","1216.0973","1033.121"
"M722.3701T594.6","722.3701","594.62801","2745.2805","1731.0495","2040.27","709.688","1144.9815","1635.924","1807.299","3376.784","6390.61","0","5778.3944","3546.148","4192.4285","2878.0752","5378.5379","4454.5586","5056.2773","3710.4637"
"M723.0445T325.4","723.0445","325.41256","877.9739","665.5662","843.6744","840.1225","822.7894","742.4182","928.5754","786.8134","518.4968","517.2113","761.4718","761.3671","749.9489","773.1212","742.7268","681.7032","853.473","669.6497"
"M723.1142T287.3","723.1142","287.28719","14670.0034","16705.0033","18779.46","18818.235","19064.0236","18436.42","16972.3399","18002.14","14620.5445","12987.6124","15354.6827","17469.4932","15551.4385","17930.7883","15986.7285","15031.1152","17297.3448","15473.4146"
"M723.3716T594.4","723.3716","594.42992","754.5973","530.0424","507.0862","544.2394","589.6457","380.5754","532.4854","1103.62","2017.3415","0","1469.0863","699.1058","1063.4518","629.8466","622.5017","1403.9882","1164.0739","1060.1451"
"M724.1184T287.1","724.1184","287.10871","5275.2202","5638.2819","6571.882","6459.0145","6559.3303","6411.365","6238.6257","6437.795","4781.0122","4510.902","5307.8463","5979.2853","5383.442","6284.967","5766.062","5447.5703","6089.5829","5553.1448"
"M727.1934T153.2","727.1934","153.16936","3159.7037","2244.4146","2052.245","1714.2835","1735.7634","2159.283","2543.6612","2071.681","3457.3209","2818.7103","2440.5278","2548.8918","2964.7162","1670.0133","2524.3696","2706.7484","2537.4178","2154.5875"
"M727.2444T241.8","727.2444","241.77532","2681.0566","1871.2175","1652.375","1599.9219","1457.4745","1283.607","1310.0994","1046.084","4024.6571","2893.6037","3414.8352","2572.8824","2423.6568","1953.3455","2084.029","2138.7355","1788.9915","2169.4092"
"M728.1517T161.7","728.1517","161.65117","1766.2317","939.6749","988.6599","1533.6745","897.8027","1139.346","2122.1492","1527.403","1502.1878","1718.7095","1686.843","1233.8077","1148.8829","1988.6362","1385.6104","1415.7071","1546.2068","1925.3082"
"M728.2459T241.7","728.2459","241.69202","723.4238","539.4874","795.4924","519.605","553.9672","448.2576","346.4323","355.3716","1569.6709","476.9254","993.4369","952.7835","977.4466","540.5803","756.8714","926.4392","845.0966","398.8421"
"M729.1253T265.7","729.1253","265.65492","6538.624","3977.0792","3719.968","4623.7826","3497.2048","4038.048","4590.0156","3031.518","9313.988","8138.7908","7125.0249","4156.2208","4963.826","4408.5221","6824.7666","8714.9521","4159.9237","5562.0461"
"M729.2273T219.8","729.2273","219.79805","2528.4454","2173.7606","1027.897","1039.2811","1376.1482","702.9917","1131.0438","643.8528","1483.9811","1984.1984","1542.5678","725.891","1089.9255","499.8665","627.4588","561.0449","490.098","563.8277"
"M730.1308T265.5","730.1308","265.54309","2269.0584","1033.0502","1031.198","1413.0092","650.5782","1628.876","1259.7116","835.8137","3050.0603","2773.0836","2641.0996","1485.3288","1277.9222","1397.6985","2244.5511","2861.5426","1396.852","1192.1325"
"M732.0651T284.6","732.0651","284.5931","1873.6556","2031.0101","1730.346","1895.758","1476.1342","1776.222","1481.7405","770.7307","2044.9539","1586.2216","1521.9114","1824.6982","2022.2766","2018.8879","1909.1525","1909.5296","2019.9866","1804.043"
"M733.2151T234.8","733.2151","234.79389","7336.4665","7099.1851","5084.325","5777.9787","4830.7125","2112.422","2505.7515","1990.899","6252.781","5981.2452","4030.5496","4284.3253","4812.7704","1476.712","1171.7684","2012.701","1001.8008","1832.2913"
"M734.0424T295.4","734.0424","295.37575","712.9667","608.1737","944.7309","889.2092","675.5537","264.0075","1014.507","584.2044","894.7099","698.2053","697.092","818.4994","675.5931","842.4343","685.6466","684.591","922.7217","803.4903"
"M734.2188T234.8","734.2188","234.80412","2253.892","2420.2095","1472.498","1913.8838","848.8848","503.7674","695.6549","753.4429","1762.3524","1996.5704","1413.21","1043.7412","1210.0712","658.3214","530.8664","512.7432","405.9053","703.08"
"M735.3447T447.6","735.3447","447.56163","3203.7424","1115.6026","3008.395","2993.2315","2175.2288","2306.191","666.2331","1811.614","6247.7305","0","6327.0375","10103.5512","7244.8619","2765.8831","5119.6766","5096.4557","4773.2565","4595.3713"
"M736.3458T447.5","736.3458","447.50044","1570.6504","539.4271","1225.112","733.7647","971.1255","1025.657","407.4361","527.6128","2537.7034","0","2252.5869","3642.9412","3161.6249","1344.0626","1908.192","2057.8009","1808.1877","1783.3407"
"M738.8975T27.1","738.8975","27.11912","1510.8468","1341.7456","1051.21","1783.0718","1162.5278","920.0274","1590.6695","1399.238","3923.4747","4053.6908","3615.39","4278.177","3368.9968","2945.5648","3045.2939","3024.3301","2644.9534","3368.0741"
