"","mz","rt","pos_Exp1-K1_2-C,1_01_7443.d","pos_Exp1-K2_2-C,3_01_7445.d","pos_Exp1-K3_2-C,5_01_7447.d","pos_Exp1-K4_2-C,7_01_7449.d","pos_Exp1-K5_2-D,1_01_7451.d","pos_Exp2-K1_2-E,1_01_7454.d","pos_Exp2-K2_2-E,3_01_7456.d","pos_Exp2-K2_2-E,3_01_7460.d","pos_Exp2-K3_2-E,5_01_7458.d","pos_Exp2-K3_2-E,5_01_7462.d","pos_Exp1-P1_2-C,2_01_7444.d","pos_Exp1-P2_2-C,4_01_7446.d","pos_Exp1-P3_2-C,6_01_7448.d","pos_Exp1-P4_2-C,8_01_7450.d","pos_Exp1-P5_2-D,2_01_7452.d","pos_Exp2-P1_2-E,2_01_7455.d","pos_Exp2-P2_2-E,4_01_7457.d","pos_Exp2-P3_2-E,6_01_7459.d","pos_Exp2-P4_2-E,7_01_7461.d","pos_Exp2-P5_2-E,8_01_7463.d"
"group","mz","rt","control_Exp1","control_Exp1","control_Exp1","control_Exp1","control_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","control_Exp2","control_Exp2","control_Exp2","control_Exp2","control_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2"
"M169.049T104.9","169.049","104.870319","8971.656","6871.278","6864.268","6781.898","2661.86","5674.102","6697.477","7267.796","5112.374","5117.15","10961.41","5859.269","8033.405","6673.992","7315.113","5050.988","5519.248","5269.532","5215.107","5728.834"
"M169.0619T225.6","169.0619","225.619017","10290.01","8057.178","6400.351","7126.401","5692.496","5330.392","6950.805","7653.18","5911.788","5950.757","3300.799","1464.495","2131.612","2888.976","1725.031","2880.157","1854.784","2567.629","1708.861","1938.917"
"M169.5708T376","169.5708","376.033853","2588.263","2356.268","2390.293","2372.704","1750.223","2495.222","2796.235","2554.729","2447.815","2370.968","1758.877","2173.603","2251.765","2407.121","1633.239","2147.721","2381.821","1857.152","2265.441","2037.455"
"M170.0979T482.2","170.0979","482.202883","3978.528","1931.684","1521.346","1253.433","788.8544","1834.862","1513.574","1554.242","1034.743","1316.838","1664.262","2108.014","1830.788","1959.181","2557.11","1551.853","2555.376","1509.206","1419.311","1302.984"
"M170.0799T38.7","170.0799","38.743249","2016.775","2006.847","1457.832","1825.683","730.7373","2098.849","2078.322","2268.149","2055.566","1987.744","4668.456","3753.776","5130.146","2933.447","3896.478","4898.073","5990.37","5094.283","4898.086","3885.552"
"M170.0993T777.5","170.0993","777.547703","21615.14","9553.388","15113.75","15266.49","3847.84","10552.79","5489.092","5220.858","931.4112","1349.451","2773.884","1042.888","1390.29","6482.515","1590.196","5366.868","7578.03","780.5808","779.5796","1258.167"
"M171.0167T26.6","171.0167","26.632895","4121.569","3083.742","4628.299","3944.736","2548.043","2915.963","2832.577","2744.927","2817.228","2594.391","15363.35","11132.13","16144.93","8424.652","11272.54","7596.937","10344.04","10377.11","13415.4","12270.28"
"M171.0308T206.7","171.0308","206.691804","706.1606","760.76","456.514","790.0437","478.2399","602.3285","720.576","691.3573","377.9688","597.7761","1416.275","1067.859","530.424","443.5316","852.835","3230.273","2148.181","3167.975","2348.05","1678.139"
"M171.0399T172.6","171.0399","172.555991","618.0233","327.075","424.6728","392.0215","239.8314","161.8142","283.9537","303.9418","192.1739","189.8397","952.2261","792.7889","1365.03","989.6799","696.2025","1211.877","933.2806","772.6312","709.1429","1200.626"
"M171.0553T485.3","171.0553","485.309857","749.0667","1404.256","2863.985","2081.095","420.2755","1803.423","2114.357","2108.686","714.5712","1108.219","1788.498","2156.057","2265.974","2259.806","2690.117","3025.689","3865.621","3109.372","4675.833","4856.516"
"M172.0204T71","172.0204","71.04325","28666.7","25991.45","23227.3","22761.41","18514.55","33180.61","35515.96","35564.36","32089.52","33604.23","6195.512","3737.784","5548.762","2541.222","3946.197","19708.95","17791.28","11378.32","15923.35","315.9902"
"M172.0963T216.5","172.0963","216.453251","32132.42","21096.56","25003.31","26124.69","9660.059","18482.8","23147.83","21960.13","14766.45","14858.55","18848.15","9277.339","14500.1","14266.97","13916.12","12836.7","12783.5","11002.66","11527.87","10156.83"
"M172.1151T558.2","172.1151","558.214059","2612.088","1821.025","2812.845","1833.729","269.8824","3212.662","1389.404","2381.167","592.2414","597.4288","1293.489","1209.07","1481.184","2346.546","1238.237","2185.096","4441.111","1278.148","1716.519","2840.169"
"M172.169T522.4","172.169","522.412315","1804.846","1054.423","1764.41","879.1835","1471.657","1427.346","1277.308","1684.61","1903.002","1632.583","1595.162","1201.402","1832.131","1524.159","1694.79","1299.337","1143.247","1257.621","1162.988","1527.076"
"M172.5807T225.5","172.5807","225.51956","769.0687","833.065","629.1753","796.5896","827.4933","509.5904","825.0547","1014.038","544.4352","876.4798","478.7775","250.0047","276.9646","248.0767","227.6096","379.1157","277.5552","382.6392","198.1858","176.5232"
"M173.0707T485.4","173.0707","485.352559","11341.58","8049.578","20819.13","15425.3","4690.65","13963.01","13628.23","13655.41","8695.486","8905.118","12495.51","12921","13886.05","17495.74","22329.77","22110.6","28784.06","21763.24","37578.08","35343.9"
"M174.0206T270.7","174.0206","270.659169","161.8105","201.1798","206.8878","238.169","164.4648","177.492","163.8271","91.0728","111.7761","103.7594","546.3137","1543.425","1803.919","428.5794","1433.367","778.4951","1601.572","966.8643","1949.4","1744.771"
"M174.073T484.9","174.073","484.927662","712.0731","837.7125","1706.31","1262.915","417.4274","1179.943","1489.947","591.4728","1021.687","1093.316","1041.276","1223.1","1235.832","1722.043","2399.279","2335.466","3381.251","1682.011","4151.213","3601.95"
"M174.0808T255.9","174.0808","255.938013","4593.88","4706.542","4498.135","4143.273","3133.464","3112.665","5117.726","4598.02","2777.124","3353.617","1989.972","727.0778","1265.8","1789.939","854.0663","1588.771","640.1784","2255.744","1773.722","1357.502"
"M174.0935T206","174.0935","206.048566","811.5677","422.0763","626.3631","662.3283","352.3816","422.5064","939.0305","942.9531","537.096","600.72","1516.717","1330.056","1555.22","1192.148","775.3709","973.2142","1386.273","1850.849","3265.01","3735.085"
"M174.1485T272.1","174.1485","272.111974","1678.963","891.6846","579.8837","917.4","438.5713","566.5917","637.755","599.2482","546.8641","534.3398","4038.574","3627.712","4213.63","4178.563","4304.829","3755.923","3603.685","2753.128","4120.999","2816.358"
"M174.5505T206.6","174.5505","206.609896","1285.239","1109.492","1121.734","1205.341","854.5922","714.2464","720.468","952.6985","700.8936","1008.108","2456.366","1584.475","1589.388","520.6827","1604.361","6332.15","5502.538","6405.559","4505.614","3569.826"
"M174.8943T24.8","174.8943","24.774315","7917.752","13995.29","10347.61","15310.42","13120.18","14226.55","15366.04","14773.87","12239.21","14337.78","8914.145","7132.791","9384.498","7620.037","5689.526","17486.95","16723.72","15033.16","13157.12","10112.47"
"M175.0361T270.7","175.0361","270.701543","49520.88","58125.53","59291.95","59890.87","70771.8","64020.91","61251.76","62056.2","67859.78","66901.4","34640.14","43640.63","35604.88","43267.81","39001.52","57317.93","46714.74","52070.15","47367.02","49396.66"
"M175.0495T482","175.0495","481.991606","4842.509","2524.033","2741.191","2730.85","2141.471","2529.642","2303.021","2901.986","2086.001","2519.24","3648.736","2775.217","3285.845","3916.694","3650.93","2060.636","2849.945","2295.994","1748.928","2134.386"
"M175.0572T376.2","175.0572","376.224055","7875.911","8640.816","6882.023","7862.513","7910.01","8278.578","7182.834","7718.851","8173.041","7845.399","5633.17","6885.741","6159.309","7176.941","6249.067","7356.184","5805.287","7553.808","5707.562","6259.262"
"M175.0744T298","175.0744","298.022411","1083.199","789.2976","1033.922","1378.912","345.7052","688.4419","773.3841","843.7911","160.4394","121.464","4204.534","2468.528","3336.667","1600.863","2619.332","2338.87","1325.861","1542.656","2602.782","1726.38"
"M175.0751T386.9","175.0751","386.895361","382.2674","364.061","313.3756","227.5607","134.8283","181.5509","318.7086","262.9293","95.73363","127.4734","3758.993","2256.69","3642.257","674.3403","2219.438","2229.784","4447.555","940.5357","3786.36","3928.077"
"M175.1193T23.2","175.1193","23.166609","4968.063","6998.094","10790.83","7222.747","6941.102","7337.299","6838.026","6340.674","4550.343","5557.809","34374.42","87869.29","63264.95","185212.3","117403.3","9884.983","22689.67","23304.91","30393.53","28834.08"
"M175.1141T319.3","175.1141","319.311239","1148.582","510.3346","722.1181","713.5146","286.3112","537.8019","449.8546","535.5821","476.4836","329.358","5397.688","3215.626","4238.084","2975.639","2691.818","3405.616","3972.422","2267.773","2352.873","1546.57"
"M175.5585T376.1","175.5585","376.092118","1528.861","1419.236","1159.809","1170.734","1343.407","1176.469","1000.344","1312.67","809.3829","1008.139","1017.059","1417.992","1080.53","1010.94","1172.366","1077.558","1151.413","1229.535","1184.829","1187.587"
"M176.0393T270.7","176.0393","270.736842","4282.092","5430.842","5172.353","5296.887","6483.404","5029.354","5206.386","4620.464","5938.476","5592.325","2744.88","3789.635","3044.677","3283.555","3142.512","4783.18","3690.057","4939.216","3542.772","3832.085"
"M176.0372T45.6","176.0372","45.589203","37781.72","50307.12","34201.97","60933.75","22069.7","12788.09","64851.77","63446.35","18979.75","18695.38","8108.056","1860.1","3340.571","1012.404","2532.697","10336.25","4849.301","4336.386","4395.591","5654.537"
"M176.0501T484.7","176.0501","484.749647","1528.222","1235.136","1653.583","1448.944","778.8342","1701.626","1638.244","1403.455","721.6358","525.7536","1287.136","1136.001","1140.245","2497.517","2467.291","2510.458","3524.521","2437.234","3933.93","4565.316"
"M176.0701T402.8","176.0701","402.807622","23868.56","18838.93","22545.85","20310.18","19169.55","14003.86","23607.8","23347.17","9608.498","9890.273","19256.2","10698.98","14868.18","20799.01","16465.28","9143.402","10761.17","8986.643","11391.7","14269.59"
"M176.146T320.9","176.146","320.935714","20724.14","50316.42","15835.66","11268.54","2005.073","9624.367","8321.898","7552.603","4423.865","3962.542","34413.55","18226.42","22780.79","26176.92","25632.47","13433.89","16297.48","14300.66","14975.64","14007.82"
"M177.0545T213.7","177.0545","213.710919","7285.36","4264.608","3555.908","4568.344","2043.198","3736.327","4487.797","4140.426","2888.642","2904.655","22885.04","16217.76","20112.43","20389.11","14521.52","9970.117","12370.15","16258.54","11017.01","8925.953"
"M177.0727T402.9","177.0727","402.885128","2783.41","2238.277","2114.182","2482.207","1881.797","1440.695","2308.981","2645.007","1184.584","1046.862","1778.393","716.4922","1682.283","2450.835","1685.521","858.9806","1018.409","701.4374","868.028","1098.717"
"M177.0541T184.3","177.0541","184.307747","1829.526","770.4282","867.0046","1265.8","441.504","578.2848","558.6473","906.5465","694.9483","730.3755","4626.031","4280.47","4351.145","5283.696","4197.225","2391.398","2800.051","3449.568","2449.625","1971.22"
"M177.0783T493.1","177.0783","493.125183","16194.38","11698.45","14795.64","15105.74","12817.18","11339.24","11988.92","12621.76","6750.696","6856.027","6169.127","4289.523","6479.312","10414","7836.931","7152.223","9768.511","4152.56","4868.168","8051.043"
"M177.1488T320.9","177.1488","320.885675","1297.62","4984.096","1514.347","793.7585","284.8643","769.8423","741.1808","644.5704","520.4711","474.784","3342.305","1685.84","2326.716","2854.282","2839.139","642.6914","1116.71","1641.274","1590.776","1387.609"
"M177.5599T376","177.5599","376.031763","11885.5","13914.35","12640.05","12930.34","13467.45","12125.7","12791.74","12144.48","11785.93","12518.28","11120.22","12960.49","10990.87","11237.6","11259.84","12330.88","11077.57","11526.4","11158.92","11212.12"
"M177.5526T481.8","177.5526","481.807302","4095.943","2542.737","2395.915","2342.406","1851.102","2735.339","2707.367","2903.567","1901.52","1889.646","2479.369","1511.303","2077.349","3511.754","3279.534","1837.953","2754.477","2025.134","1663.445","2040.533"
"M178.0495T98.4","178.0495","98.36779","22318.47","13043.97","17357.54","26017.64","8095.925","9778.55","12888.12","12554.74","8968.064","8476.583","45126.61","27994.51","39228.28","47825.91","26388.68","18518.1","10780.71","25373.22","18354","12078.16"
"M178.0498T169.4","178.0498","169.394465","6579.624","4506.848","3424.114","5024.044","2074.088","928.7424","1858.819","1709.7","1163.677","1167.681","12324.28","7902.51","9943.735","13990.15","7771.082","6907.79","11004.17","3563.464","272.2176","10563.18"
"M178.0617T376","178.0617","375.985176","1885.174","2472.029","2333.16","1020.816","2129.877","2202.135","2266.96","1927.606","1291.032","1831.464","2080.997","1943.887","2052.641","1981.25","2336.106","2452.393","1806.093","2026.677","1766.746","2319.407"
"M178.0576T213.8","178.0576","213.771646","782.1239","454.2474","563.9192","597.5492","273.8199","497.3024","444.4279","562.3182","469.7088","464.0376","2463.403","685.3264","1848.478","2205.763","1831.236","838.1916","1192.25","1349.643","1132.572","921.6218"
"M178.0849T493","178.0849","493.01128","14839.92","8428.304","11508.73","10660.9","9087.35","7385.06","8739.441","7892.567","4127.87","3882.941","3349.656","1915.057","3704.536","6707.927","4380.835","3578.943","6406.4","2027.938","2805.557","4655.059"
"M178.0852T362.5","178.0852","362.49161","3485.511","2110.743","3119.583","2837.026","1926.323","1786.762","1129.903","1891.956","1064.805","936.1518","1067.218","486.1863","808.7849","1556.11","947.8428","1009.399","1476.099","408.9119","526.6575","1032.846"
"M178.0892T79.5","178.0892","79.528787","2734.864","1595.858","2014.068","2477.081","1054.169","1314.799","1541.948","1669.311","1040.089","1060.044","8753.472","4332","6101.178","3957.988","4223.919","3450.066","4827.526","4602.201","5043.271","4416.059"
"M178.1259T60.4","178.1259","60.414296","2477.845","5018.81","4422.946","1136.739","1045.411","2321.244","1972.358","1876.01","1213.019","1151.815","33767.16","32099.01","56372.61","30147.52","32170.8","13531.36","16975.72","14118.98","23039.34","25854.11"
"M178.1335T166.1","178.1335","166.064944","7566.991","7461.461","4535.875","5920.658","3004.067","1847.165","3215.904","1045.148","994.0386","1224.254","19748.45","13099.42","12401.06","17084.78","25815.29","4420.471","2002.858","2808.966","2399.649","6745.938"
"M178.5752T376","178.5752","376.031763","4384.463","4510.31","4403.505","4169.713","4184.678","4081.262","3868.075","4478.996","3689.111","4294.421","2546.451","3499.464","3572.897","3843.355","3213.452","3983.043","3870.818","3330.478","3926.497","3880.726"
"M179.0298T172.5","179.0298","172.46748","1697.839","628.0135","997.0292","1220.771","621.1044","308.6725","823.4027","635.6283","318.6483","411.7447","4782.275","3730.276","5298.689","2983.154","1847.35","3958.185","2695.365","3694.62","4158.347","5041.932"
"M179.0352T203.7","179.0352","203.65675","236.2171","252.3226","336.056","346.7766","102.7372","207.2122","370.1842","345.6925","271.884","227.8744","2112.889","1073.525","1006.471","601.5484","1429.99","2824.225","1835.666","1210.311","2508.506","1732.601"
"M179.0696T282.4","179.0696","282.378843","7631.155","4345.108","7044.704","6236.586","2898.022","5067.351","4442.406","5014.342","2630.219","2665.545","22387.08","17214.3","25081.26","20588.95","21196.73","6799.982","12617.76","8334.086","12291.92","12332.19"
"M179.0689T238.6","179.0689","238.614494","1491.35","1041.374","1743.323","1649.683","445.9301","1393.583","1176.064","856.6592","1262.151","1362.299","1121.482","923.4862","852.9395","837.5242","923.59","1750.87","1338.403","1572.571","1208.171","1127.171"
"M179.6068T826.3","179.6068","826.26224","5195.251","4389.845","5736.21","5667.591","526.0338","5970.617","2403.63","2362.848","3931.619","3643.427","6049.169","2990.884","4796.387","5983.551","2815.082","4904.384","4033.005","5142.022","5255.542","2681.571"
"M180.5698T225.6","180.5698","225.597291","4992.897","4102.174","3647.31","3825.92","3359.27","3011.546","3403.867","4013.525","2911.212","3267.612","2053.564","788.446","959.6689","1555.418","732.4495","1465.744","719.2416","1319.861","922.3468","891.952"
"M181.0254T71.2","181.0254","71.244076","55075.36","49308.63","46215.83","47987.1","35863.89","65124.65","69249.91","70661.14","63440.62","67066.43","11047.2","7745.163","8554.16","8875.388","6110.854","38773.33","36006.08","24409.59","33107.85","20974.77"
"M181.1223T469.7","181.1223","469.727533","7412.258","6401.497","3575.686","4497.925","900.7103","3286.471","4334.329","4857.554","3513.9","3104.443","7574.021","3228.996","5245.919","3404.663","2150.754","2622.968","2176.08","3245.608","3879.938","5890.131"
