"","mz","rt","neg-Exp1_K-1-24_1-E,1_01_55195","neg-Exp1_K-25-48_1-E,3_01_55198","neg-Exp1_K-49-72_1-E,5_01_55201","neg-Exp1_K-73-96_1-E,7_01_55204","neg-Exp1_K-97-120_1-F,1_01_55207","neg_Exp2_K01_1-C,1_01_342","neg_Exp2_K02_1-C,5_01_347","neg_Exp2_K03_1-D,1_01_352","neg_Exp2_K04_1-D,5_01_358","neg-Exp1_P-1-24_1-E,2_01_55196","neg-Exp1_P-25-48_1-E,4_01_55199","neg-Exp1_P-49-72_1-E,6_01_55202","neg-Exp1_P-73-96_1-E,8_01_55205","neg-Exp1_P-97-120_1-F,2_01_55208","neg_Exp2_P1_1-C,2_01_343","neg_Exp2_P2_1-C,6_01_348","neg_Exp2_P3_1-D,2_01_353","neg_Exp2_P4_1-D,6_01_359","neg_Exp2_P5_1-E,1_01_364"
"group","mz","rt","control_Exp1","control_Exp1","control_Exp1","control_Exp1","control_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","control_Exp2","control_Exp2","control_Exp2","control_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2"
"M176.098T259.4","176.098","259.3956","1055.403","494.2323","547.0173","561.5567","354.7206","82.35803","133.7335","110.7441","74.73387","11813.74","11392.95","9159.196","7788.419","3612.3642","1878.90882","1281.4848","275.8872","5082.56564","1104.34"
"M177.0135T265.7","177.0135","265.66927","3319.057","5991.935","8219.475","5059.68","5921.678","1200.706","1465.961","911.0169","928.332","3778.444","4701.824","4184.032","6604.65","6685.406","2516.4816","2151.14456","3305.68","617.28536","3966.934"
"M177.0178T198.6","177.0178","198.63211","73672.09","42666.32","72555.29","69944.93","76656.72","2741.006","27420.97","27755.19","3063.219","35470.21","30328.22","33297.4","64264.26","61179.152","34919.43017","27400.10664","60162.75","4102.4327","77640.66"
"M177.0394T39.2","177.0394","39.22219","54631.7","51589.74","58764.1","43665.4","48728.74","4150.678","2809.887","2473.227","1728.696","98935.83","97843.05","76101.06","83118.92","98126.762","26091.98362","14282.61693","11523.3","13967.20395","15168.2"
"M178.0433T39.6","178.0433","39.65","3346.938","2729.513","4460.172","3051.643","4047.37","436.5171","321.4686","321.1838","275.7827","5515.667","5307.416","5926.277","6105.745","5396.3473","1454.50564","1158.40336","611.1746","917.15321","870.3047"
"M179.04T65.3","179.04","65.25907","13636.7","8498.302","9109.774","13283.94","12984.8","142.0829","213.7914","344.7615","172.0989","100189.4","35142.65","77339.25","75356.33","113962.5677","16824.68846","16797.19067","13250.04","17052.68046","23264.17"
"M179.0355T181.7","179.0355","181.67359","2982.77","5217.319","1519.978","3242.178","3159.227","284.0738","262.7822","182.1456","310.0451","8412.73","13969.17","11936.32","8131.395","13075.6283","5395.67229","4989.63198","4045.449","2624.645","3311.79"
"M179.1042T495.4","179.1042","495.36636","1473.609","988.6036","633.2428","1266.248","789.4677","254.4886","361.323","326.5326","415.2534","10442.16","11718.01","10776.92","9621.58","10466.2643","1176.65856","1524.97516","552.5136","3498.0815","1542.097"
"M179.1026T387.3","179.1026","387.34246","1437.148","623.1325","773.8487","1379.463","671.8451","367.5228","563.2371","503.9742","455.7407","16017.13","12868.1","9442.943","12312.86","9678.8132","1783.75503","867.4335","872.6976","3427.07946","1256.806"
"M180.9135T22.4","180.9135","22.41344","2177.924","964.7589","2444.939","3055.579","2603.934","2092.511","4300.296","3433.309","4955.202","11972.24","21328.79","21154.84","20501.25","17273.0237","1187.99891","3308.63832","6085.802","5872.97903","3058.874"
"M181.0123T215.2","181.0123","215.24113","6576.892","2370.217","3944.968","4798.619","2438.309","1221.094","2809.12","1286.031","1213.303","3642.094","5550.557","3337.17","4109.052","4830.7785","2495.29269","2197.90214","1063.653","2340.5051","2762.079"
"M181.0492T146.9","181.0492","146.87959","2891.46","2448.481","3330.132","2865.996","2538.119","970.9225","1045.301","922.5005","992.9358","31569.19","38876.61","37340.17","36410.94","43654.7606","14565.03145","15347.48495","9358.693","15233.86082","17269.56"
"M181.1191T404.2","181.1191","404.19319","3400.148","1273.644","1299.166","2809.499","1006.328","185.4688","163.4414","221.8287","122.4227","166378.4","149388.6","128551","98284.98","45070.7262","7220.45385","6977.34831","898.6788","30565.3242","4764.095"
"M181.1187T320.7","181.1187","320.65877","2529.821","944.8078","978.648","2216.112","731.627","236.416","176.4612","209.4537","162.748","26130.98","22446.24","26093.39","16825.41","18161.3977","6367.93941","5007.94973","1399.471","8905.02286","4419.728"
"M182.0446T51.1","182.0446","51.0591","80906.65","90272.84","86265.8","85922.8","98655.85","16120.63","12130.18","11698.16","11885.68","47269.53","47551.49","46288.32","47926.02","49934.0636","10005.64324","9857.33625","8972.164","7913.86457","11446.28"
"M182.1219T404.2","182.1219","404.15016","819.7056","575.3443","245.0353","531.6225","395.3596","88.05456","89.05518","56.7069","83.385","21441.29","17288.52","15199.55","9628.867","6258.8711","491.97955","894.05988","264.4496","4055.78376","631.068"
"M184.9991T364.1","184.9991","364.14226","5873.526","3164.391","4641.142","4063.127","5217.928","1426.574","2142.404","1226.907","1423.471","1063.17","2486.948","2345.459","3319.861","2647.6677","1159.65509","1087.69946","1290.14","552.3984","1040.832"
"M185.0149T344.3","185.0149","344.27698","1312.41","920.9117","1077.322","1046.559","1100.75","395.316","600.8676","525.9926","333.6","11505.94","22112.84","13113.6","17486.95","22466.5591","14956.12554","21249.5292","12649.43","18681.93645","36701.92"
"M185.0557T38.7","185.0557","38.70443","2933.839","1620.655","1877.279","1798.432","2617.149","287.7932","229.099","270.1526","263.5151","19336.39","20687.66","14630.86","20927.39","11430.5607","4504.896","4745.64472","1007.934","4866.14","2413.514"
"M185.1148T328.8","185.1148","328.81072","5639.788","1683.065","2045.842","5103.361","1888.521","496.248","359.9005","495.6583","463.6039","75742.91","78648.37","78803.1","66928.31","62643.1189","14831.88133","14969.63978","2913.83","21781.15097","10831.14"
"M185.9702T250.4","185.9702","250.41871","5423.95","6682.114","9001.27","8378.51","8071.567","3185.766","4460.04","3429.426","3367.141","3738.25","3084.495","2369.045","2947.538","2682.1354","2480.86206","2460.3","3615.807","2429.73429","3743.711"
"M186.0202T344.5","186.0202","344.45566","415.463","199.1522","196.1413","343.4157","278.6473","94.4088","217.8869","134.7601","111.7678","2030.425","4050.216","2258.149","2393.037","3240.6871","3571.4515","4169.26209","2334.813","3592.0773","7006.116"
"M186.1106T237.6","186.1106","237.56241","13490.7","7312.392","7258.17","18442.92","5801.478","786.1288","901.3392","894.5259","885.2301","1807.262","1484.705","2039.93","2986.238","693.0508","723.99338","606.08306","1183.854","440.8209","395.0416"
"M187.0281T344.4","187.0281","344.36059","495.348","497.016","510.1747","775.3055","508.1357","196.1736","250.8887","269.1921","246.8429","3815.069","5818.93","3983.257","3614.804","7151.1863","4047.49793","4596.37326","3225.302","3690.5971","9333.461"
"M187.0244T42.4","187.0244","42.41298","2439.775","1395.175","1559.639","270.948","1419.447","528.6241","466.2537","349.8591","438.6585","90551.61","65172.14","71878.83","70328.94","110517.6513","17283.11333","14527.97935","5516.546","10743.16555","11266.53"
"M187.0955T307.5","187.0955","307.48239","305352.1","84701.33","119263.3","200458","75981.84","17368","12710.74","11926.61","21018.54","62763.94","88953.91","73503.48","98365.98","67778.0976","49130.06489","34029.68439","16371.24","30621.91393","29654.99"
"M187.0935T376.8","187.0935","376.83113","5304.562","1390.919","1794.919","2246.612","937.2263","783.8116","486.6786","407.6225","568.6857","24947.77","21874.75","18253.89","16434.84","12450.8792","1346.59181","1168.9344","842.1885","4207.82336","703.896"
"M187.1316T504.6","187.1316","504.60901","6065.571","2451.83","2132.416","4433.417","1356.375","423.3928","545.8787","360.0721","817.5275","9965.588","9262.297","10718.63","9216.618","12029.552","2017.75934","1965.3543","784.8325","3505.87325","2207.431"
"M188.099T307.3","188.099","307.34447","30654.09","5991.874","9608.741","18149.37","7935.344","1797.365","1018.727","980.7867","2115.938","5827.222","9600.171","7196.758","2339.831","7962.6291","3433.37163","3908.31355","1536.562","2595.18583","2747.294"
"M189.0414T404.9","189.0414","404.86601","5479.538","6509.658","6520.754","8857.775","8081.55","2411.928","3936.557","3989.995","2507.671","8047.223","9659.538","8507.157","10154.83","3386.3346","5253.5784","5396.95964","1656.194","4982.68767","4692.684"
"M189.0742T236","189.0742","236.02421","3812.144","1526.723","1570.42","3158.364","1332.3","439.2854","301.8646","363.8267","378.5543","177779.3","145323.2","177162.6","177605","206912.2198","33005.87139","29096.39089","14579.31","32526.17067","37912.12"
"M189.0756T85.4","189.0756","85.36042","15072.61","3572.852","4286.546","9167.163","3775.031","878.7988","629.3711","770.4543","610.3416","163538.7","241626","193691.3","146142.9","156245.7959","89830.0453","68873.05571","68211.04","65321.83627","87613.12"
"M189.0755T142.8","189.0755","142.83094","6917.517","1367.773","1528.465","4196.062","1398.101","390.2196","312.8131","454.6107","526.2962","23749.53","33146.45","25985.87","29899.77","18711.9014","13091.84446","17720.856","23277.53","21219.49473","30370.84"
"M189.1107T304.5","189.1107","304.53918","6757.032","6988.706","3036.483","7275.352","2385.561","450.2543","341.2194","423.6389","273.1737","2645171","2823374","2423597","2241808","2177060.3232","436315.76775","366771.81564","85428","726630.04993","280289.4"
"M190.0525T152.3","190.0525","152.341","1493.767","1420.535","1696.283","1722.096","1608.672","204.7823","110.7379","85.06135","93.73427","15263.93","14809.89","16056.14","14933.81","13387.6974","2504.27708","2345.208","1471.164","2621.38517","1784.093"
"M190.0776T236.4","190.0776","236.44739","1128.523","597.8567","418.8648","911.7796","452.7299","113.0797","211.1488","189.0796","169.7863","16041.03","13715.25","15742.52","14658.19","18263.1375","3378.8615","2332.97754","1011.475","2478.51227","3605.318"
"M190.1134T304.6","190.1134","304.58634","1466.363","1418.514","1191.938","1570.042","806.7572","217.7755","166.429","147.4401","150.7533","305652.9","337480.5","275978.4","242102","234415.4243","47958.28422","40922.88335","9169.211","79184.5725","30668.89"
"M191.0331T266.2","191.0331","266.17266","85637.9","169840.8","175683.8","126644.7","157303.1","27428.24","34113.58","29101.93","20988.01","69837.05","88414.35","75654.38","110344.5","99392.0803","53051.2629","47240.36856","61531.56","29891.26248","64929.23"
"M191.0338T193.2","191.0338","193.22454","8627.236","17333.45","17428.21","15306.16","17561.83","3336.89","2769.712","3895.178","2981.653","2363.69","2660.36","2968.53","2750.895","3079.3985","2336.8513","2789.15342","5258.537","3520.86867","2396.937"
"M191.1136T303.8","191.1136","303.81621","3367.541","681.7723","925.7939","2361.963","794.9594","227.0999","233.1654","176.1725","155.4436","40976.88","44138.84","36898.13","31807.73","33016.7314","5998.77315","5142.67071","1184.541","10843.34313","3970.421"
"M192.0049T249.1","192.0049","249.0994","760.2455","887.1971","979.9233","942.4165","1234.388","178.0482","768.7039","349.508","150.0882","2497.777","3856.375","3799.361","4429.793","4968.8915","4991.51785","6173.51874","6858.908","3166.5312","5067.777"
"M192.0365T265.7","192.0365","265.65884","7360.545","17652.95","21039.25","13907.98","15582.58","2815.863","3388.128","2993.592","2311.702","6754.363","10154.29","8452.862","11982.52","10532.598","5967.32318","4988.27455","6904.69","3241.00818","6435.847"
"M192.0504T50","192.0504","50.02246","2283.64","1859.734","1862.091","1954.237","1950.725","539.6295","573.6982","479.6802","365.5339","18190.5","27779.71","22406.08","21321.99","14248.0965","13285.00141","16776.48778","3150.003","17895.69325","8562.013"
"M192.064T194.8","192.064","194.83092","942.9555","435.0806","508.8382","491.6984","421.9372","87.06136","62.7168","91.37179","74.71933","17530.5","29457.57","18177.37","30015.27","22081.8467","3543.19571","2556.74274","604.0924","2756.82909","2589.372"
"M192.9622T194.8","192.9622","194.78015","8026.642","9604.569","9684.02","10236.07","9939.14","3448.423","3927.512","2929.051","2939.683","656.0834","1264.547","790.265","1122.02","683.7527","1849.95665","604.17257","2003.43","764.87929","1234.469"
"M193.0486T277.7","193.0486","277.66746","13585.87","7271.957","9754.132","14680.26","14165.69","2037.903","4956.439","4011.919","1661.555","20674.07","14744.4","16973.34","35364.67","23318.1452","12148.33994","9580.788","7783.185","7603.67376","15059.24"
"M193.0855T384.1","193.0855","384.12413","21550.31","14779.61","16554.17","20408.3","17374.81","3061.396","3622.415","3045.559","3346.229","12139.18","11945.3","11809.67","16093.63","15434.3415","5070.39578","3958.33263","3507.489","3820.95787","6058.658"
"M193.0846T476.6","193.0846","476.55983","8216.598","7544.488","5890.436","11199.86","9657.249","613.7078","671.8484","405.4549","319.5283","8958.361","2387.376","3146.709","8722.973","11926.0317","1043.28","821.75697","228.516","699.29432","1122.898"
"M193.0829T244.8","193.0829","244.77111","2606.885","1148.095","2133.488","3204.256","1967.88","637.5096","406.3248","410.5747","609.4227","15146.04","24786.16","18327.09","11741.08","15935.3974","3780.38443","5037.79444","770.5345","12258.59152","2680.21"
"M193.1581T576.8","193.1581","576.79188","54330.22","15251.12","15794.87","31563.79","12429.02","2475.398","1973.933","2900.037","2277.62","17272.06","12304.96","13593.42","26188.01","17249.008","2849.01284","2481.13085","2010.029","1660.83","2661.062"
"M193.1542T458","193.1542","457.99607","910.1028","206.0292","118.6592","836.771","216.7553","35.0385","0","15.0075","7.0077","9353.525","9919.258","9567.677","6090.153","11593.811","924.5182","1805.31283","68.35445","3601.25052","1084.867"
"M194.0809T575","194.0809","574.9797","31946.67","18412.87","18779.1","16527.15","18648","60183.74","11723.13","11373.91","11996.69","12425.65","14150.18","11886.26","16029.94","15671.209","10939.98877","9829.07016","11859.96","9014.98086","11823.48"
"M194.1142T331.8","194.1142","331.77663","1407.905","619.2485","650.0537","1257.42","613.677","186.085","161.4486","210.15","210.4295","10831.54","9838.919","8839.218","7545.999","5966.7641","1524.9144","921.54176","251.4482","2742.67345","931.0776"
"M195.0289T217.2","195.0289","217.19584","8496.019","4913.714","5858.166","5762.971","5364.965","2734.249","3181.023","1984.454","2730.957","4187.48","6653.775","2949.087","5245.69","4130.4678","2725.6212","2749.41518","3942.996","3221.35235","3032.595"
"M195.0624T254.1","195.0624","254.12098","42345.11","12504.91","19117.45","30156.12","11579.69","6892.894","2870.049","3939.517","5181.429","4328.825","4510.745","4851.977","6048.49","3930.4233","2677.8732","1391.32047","2991.391","1602.01882","2360.614"
"M195.0641T191.1","195.0641","191.07313","7219.154","3147.769","3236.068","7182.818","4047.564","1149.503","1240.813","1286.406","977.6754","240572.2","241810","211153","264998.8","201940.1601","50880.56444","42849.33321","37367.43","51337.63034","48780.12"
"M195.0646T278.5","195.0646","278.45099","30857.03","48575.23","44590.83","40133.6","49306.64","7314.678","13173.04","11831.82","6314.841","11453.58","8748.133","10164.36","15593.42","11077.187","5137.75177","3821.06672","3573.115","3605.38615","5184.736"
"M195.0983T309.5","195.0983","309.54234","4689.736","4838.265","3674.632","7206.628","4632.045","1078.711","1541.335","1827.52","928.2001","137721.3","119343.5","117011.3","81112.82","77486.64","10283.11652","7507.74806","1399.872","13480.32015","5281.223"
"M195.1369T554.2","195.1369","554.1541","14922.29","8777.596","6639.574","7751","3825.027","2192.995","722.0547","1012.951","757.4966","10536.33","9917.871","7523.115","6194.274","10398.1524","5282.442","4255.01892","1208.842","6849.23629","2062.868"
"M196.0662T190.8","196.0662","190.78512","1694.544","1184.012","764.5499","691.5136","1046.244","315.2005","381.9095","334.5734","355.1678","28780.58","29778.01","26155.84","33044.1","24484.2805","6170.68222","5891.8272","5115.417","6335.3976","6183.757"
"M196.1015T309.9","196.1015","309.87936","1423.402","765.8419","871.5603","1169.043","914.6835","169.0287","236.1038","199.4928","165.421","16182.42","14164.02","13316.93","9803.667","10358.0203","924.65604","848.26003","449.6928","1485.5208","315.063"
"M197.0438T189.7","197.0438","189.7042","188.6578","1543.233","1158.193","506.7812","665.8512","386.8471","498.1992","426.284","399.5996","88148.05","126378.7","111137.4","105835.7","121898.7692","58444.54834","52801.09504","51384.18","46923.8055","59150.02"
